#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
10/1/2001,3978.288,3881.779,876.096,5297.318,1704.243,1377.812,1231.669,1082.388,2752.936,2164.815,1923.574,1360.675,3840.759,293.156,294.643,294.562,296.165,294.152,293.414,292.862,293.222,296.220,5285.482
11/1/2001,4357.498,3763.930,618.710,5598.278,1703.912,1467.401,1296.773,1185.436,2502.555,2096.754,1665.675,1249.298,3406.848,293.207,294.656,294.586,296.151,294.307,293.488,292.990,293.286,296.470,5455.556
12/1/2001,4942.166,3688.762,746.496,5955.955,2055.006,1770.583,1664.027,1474.604,2569.172,2158.478,1966.393,1609.022,3745.568,293.094,294.507,294.498,296.030,294.404,293.479,292.970,293.239,296.651,5802.568
1/1/2002,5803.315,3937.853,945.475,6493.589,2001.392,1725.542,1719.751,1478.121,2361.521,1942.025,1877.501,1739.761,3617.573,293.063,294.444,294.449,295.969,294.536,293.521,293.012,293.217,296.844,6291.505
2/1/2002,6708.614,4795.546,621.389,7226.131,2025.178,1743.625,1774.583,1508.354,2133.618,1789.585,1834.317,1779.249,3427.986,292.999,294.340,294.404,295.915,294.702,293.546,293.045,293.197,297.080,6893.786
3/1/2002,7706.016,5650.387,384.653,7677.758,1953.875,1658.707,1783.437,1479.529,1988.664,1625.566,1809.664,1861.772,3325.243,292.998,294.336,294.408,295.934,294.654,293.505,292.964,293.091,296.887,7200.470
4/1/2002,7790.947,6183.389,661.565,7502.885,1803.135,1486.917,1666.480,1332.831,1918.583,1487.773,1784.926,1839.047,3176.041,292.930,294.318,294.358,295.936,294.460,293.446,292.899,293.106,296.536,7211.886
5/1/2002,7572.442,6206.717,997.920,7224.965,1713.746,1379.512,1526.704,1211.066,2028.619,1527.296,1850.993,1793.031,3282.525,292.996,294.436,294.456,296.068,294.755,293.567,293.079,293.204,297.085,6880.991
6/1/2002,7094.045,5737.997,1331.165,6893.030,1543.356,1208.449,1292.613,1030.087,2042.553,1506.503,1793.191,1580.565,3287.684,292.971,294.455,294.484,296.132,294.338,293.352,292.807,293.088,296.482,6630.471
7/1/2002,6005.232,4975.949,1806.624,6313.142,1515.229,1181.440,1187.033,963.404,2333.982,1741.226,1802.545,1448.882,3629.515,293.170,294.635,294.617,296.245,294.434,293.515,292.966,293.243,296.462,6021.323
8/1/2002,4888.339,4587.581,1526.688,5581.344,1491.594,1183.728,1115.162,940.881,2503.604,1904.418,1738.668,1317.679,3687.290,293.272,294.731,294.676,296.290,294.425,293.588,293.002,293.295,296.440,5205.004
9/1/2002,3956.256,3808.166,1382.054,5130.926,1506.873,1201.115,1091.278,939.012,2553.281,1992.145,1743.877,1255.295,3549.781,293.404,294.886,294.814,296.429,294.453,293.691,293.102,293.450,296.503,4678.048
